201905152215103924;46940;0;9929
201905152215109315;57656;122.6865;9912
201905152215114514;57940;111.4176;9912
201905152215119716;58684;44.8786;9912
201905152215124917;58980;24.12474;9913
201905152215130133;59276;40.1769;9915
201905152215135638;59580;14.13896;9915
201905152215141144;59860;22.50033;9916
201905152215146729;60164;25.59273;9916
201905152215152158;60460;17.92383;9914
201905152215157342;60744;9.007941;9929
201905152215162545;61076;24.11635;9929
201905152215167794;61232;20.1481;9929
201905152215173263;61540;25.76003;9929
201905152215178651;61932;32.93557;9928
201905152215183858;62216;9.037136;9928
201905152215189141;62512;19.76968;9929
201905152215194669;62816;14.0319;9929
201905152215200205;63112;11.45506;9929
201905152215205622;63408;29.89033;9929
201905152215210827;63692;8.852584;9929
201905152215216148;63988;17.92152;9929
201905152215221336;64272;24.04864;9929
201905152215226561;64556;21.01518;9927
201905152215231751;64840;2.942255;9927
201905152215237074;65124;14.90252;9927
201905152215242302;65408;15.08774;9927
201905152215247496;65696;41.62877;9927
201905152215252782;65776;2.880177;9928
201905152215258216;65776;23.12901;9927
201905152215263710;65776;28.18617;9927
201905152215269172;65776;25.37551;9927
201905152215274756;65776;28.18115;9927
201905152215280224;65776;26.84458;9927
201905152215285486;65776;17.26153;9928
201905152215290957;65776;23.14252;9928
201905152215296319;65776;37.32473;9928
201905152215301865;65776;25.53863;9928
201905152215307269;65776;42.90067;9928
201905152215312736;65776;34.42327;9928
201905152215318156;65776;5.963314;9928
201905152215323395;65776;8.57125;9928
201905152215328906;65776;31.53435;9928
201905152215334352;65776;37.5699;9928
201905152215339770;65776;38.18901;9928
201905152215345035;65776;8.770111;9928
201905152215350416;65776;22.85198;9928
201905152215355842;65776;20.92506;9928
201905152215361055;65776;44.71034;9928
201905152215366327;65776;22.92757;9928
201905152215371767;65788;5.997094;9927
201905152215377005;65772;8.70121;9927
201905152215382393;65772;0;9927
201905152215387791;65772;31.60622;9927
201905152215393123;65772;2.969108;9927
201905152215398421;65772;36.95013;9927
201905152215403902;65772;26.42951;9927
201905152215409190;65772;3.023075;9927
