1.3773175;0.4149686;0;67.82785;
2.4162001;0.4155187;4.578106;67.81952;
3.4380099;0.4621073;44.34295;67.89119;
4.4598515;0.6027819;96.33598;69.72424;
5.4805448;0.6225127;29.05724;69.73377;
6.5008765;1.238042;66.04248;70.89525;
7.520844;2.103208;91.55653;72.74925;
8.5427151;2.122484;87.07331;72.81872;
9.5672905;2.123991;67.42762;72.78295;
10.5875512;2.084553;67.38654;71.97128;
11.6064958;2.109665;74.77101;71.9357;
12.6292588;2.099405;76.53321;71.92648;
13.6499357;2.082161;67.42333;71.91853;
14.6704206;2.067979;68.83578;71.90781;
15.6933932;2.070132;96.22955;71.89367;
16.7135463;2.065803;70.58917;71.91341;
17.735079;2.065827;82.59658;71.90847;
18.7544649;2.06664;84.05853;71.61202;
19.7789857;2.06475;74.87598;71.6119;
20.7991844;2.061857;49.05933;71.60672;
21.8173894;2.060326;64.20001;71.64259;
22.8405499;2.060254;39.74222;71.78786;
23.863508;2.060924;92.09499;71.79644;
24.883741;2.060924;74.89938;71.71798;
25.9040031;2.060183;70.30815;71.71282;
26.925537;2.060206;105.5428;71.68794;
27.9467171;2.061546;89.00419;71.71336;
28.9658368;2.061546;77.88931;71.70832;
29.9886051;2.123632;88.783;71.73512;
31.0088701;2.123919;67.44872;71.73586;
32.0298279;2.124852;89.94383;71.96435;
33.052499;2.069629;81.21407;71.72569;
34.0734596;2.070012;90.20671;71.74841;
35.093831;2.071854;81.24081;71.71912;
36.1136325;2.069821;58.10514;71.70791;
37.1356065;2.133103;61.27893;71.83128;
38.1567898;2.133246;62.85346;71.83193;
39.1781887;2.131716;45.76006;71.81573;
40.1989299;2.131716;55.16233;71.81663;
41.2193472;2.131787;73.49947;71.8113;
42.2389075;2.130257;47.45915;71.80968;
43.2599911;2.129491;47.39236;71.81055;
44.2826385;2.129635;53.53001;71.82108;
45.3031357;2.129635;35.28474;71.81261;
46.3248085;2.128104;39.80092;71.81261;
47.3428612;2.125928;35.23026;71.81654;
48.3625572;2.118992;45.97194;71.80943;
49.3839015;2.087519;39.81294;71.79159;
50.4035131;2.080535;76.55167;71.62637;
51.4230893;2.080511;64.36293;71.78588;
52.4424822;2.080511;56.65724;71.79207;
53.465391;2.080511;79.58559;71.78782;
54.4832306;2.080511;55.10357;71.80347;
55.5051597;2.080511;55.20175;71.78528;
56.5255495;2.080511;67.31215;71.79238;
57.5452086;2.080535;71.87885;71.78655;
58.5662321;2.075967;59.74103;71.78564;
59.5864913;2.068984;62.79039;71.78389;
60.6118816;2.062024;64.25019;71.78389;
61.6289326;2.055112;73.52612;71.83362;
